local_site,DateTime,mmt_num,SM
MRS1,5/12/2018 17:00,3,0.0584
MRS1,5/12/2018 17:00,4,0.1485
MRS1,5/12/2018 17:00,5,0.2371
MRS1,5/12/2018 18:00,1,0.0976
MRS1,5/12/2018 18:00,2,0.1659
MRS1,5/12/2018 18:00,3,0.0606
MRS1,5/12/2018 18:00,4,0.1477
MRS1,5/12/2018 18:00,5,0.2378
MRS1,5/12/2018 19:00,1,0.0969
MRS1,5/12/2018 19:00,2,0.1659
MRS1,5/12/2018 19:00,3,0.0591
MRS1,5/12/2018 19:00,4,0.1477
MRS1,5/12/2018 19:00,5,0.2378
MRS1,5/12/2018 20:00,1,0.0976
MRS1,5/12/2018 20:00,2,0.1652
MRS1,5/12/2018 20:00,3,0.0591
MRS1,5/12/2018 20:00,4,0.147
MRS1,5/12/2018 20:00,5,0.2371
MRS1,5/12/2018 21:00,1,0.0983
MRS1,5/12/2018 21:00,2,0.1652
MRS1,5/12/2018 21:00,3,0.0598
MRS1,5/12/2018 21:00,4,0.1463
MRS1,5/12/2018 21:00,5,0.2385
MRS1,5/12/2018 22:00,1,0.0998
MRS1,5/12/2018 22:00,2,0.1652
MRS1,5/12/2018 22:00,3,0.0606
MRS1,5/12/2018 22:00,4,0.1463
MRS1,5/12/2018 22:00,5,0.24
MRS1,5/12/2018 23:00,1,0.1012
MRS1,5/12/2018 23:00,2,0.1695
MRS1,5/12/2018 23:00,3,0.062
MRS1,5/12/2018 23:00,4,0.1477
MRS1,5/12/2018 23:00,5,0.2429
MRS1,5/13/2018 0:00,1,0.0998
MRS1,5/13/2018 0:00,2,0.1732
MRS1,5/13/2018 0:00,3,0.0613
MRS1,5/13/2018 0:00,4,0.1463
MRS1,5/13/2018 0:00,5,0.2422
MRS1,5/13/2018 1:00,1,0.1005
MRS1,5/13/2018 1:00,2,0.1739
MRS1,5/13/2018 1:00,3,0.0613
MRS1,5/13/2018 1:00,4,0.147
MRS1,5/13/2018 1:00,5,0.2422
MRS1,5/13/2018 2:00,1,0.1012
MRS1,5/13/2018 2:00,2,0.1746
MRS1,5/13/2018 2:00,3,0.0613
MRS1,5/13/2018 2:00,4,0.1463
MRS1,5/13/2018 2:00,5,0.2443
MRS1,5/13/2018 3:00,1,0.1012
MRS1,5/13/2018 3:00,2,0.1753
MRS1,5/13/2018 3:00,3,0.0613
MRS1,5/13/2018 3:00,4,0.1463
MRS1,5/13/2018 3:00,5,0.2443
MRS1,5/13/2018 4:00,1,0.1012
MRS1,5/13/2018 4:00,2,0.1746
MRS1,5/13/2018 4:00,3,0.062
MRS1,5/13/2018 4:00,4,0.1441
MRS1,5/13/2018 4:00,5,0.2451
MRS1,5/13/2018 5:00,1,0.1012
MRS1,5/13/2018 5:00,2,0.1746
MRS1,5/13/2018 5:00,3,0.062
MRS1,5/13/2018 5:00,4,0.1448
MRS1,5/13/2018 5:00,5,0.2451
MRS1,5/13/2018 6:00,1,0.102
MRS1,5/13/2018 6:00,2,0.1746
MRS1,5/13/2018 6:00,3,0.0628
MRS1,5/13/2018 6:00,4,0.1456
MRS1,5/13/2018 6:00,5,0.2458
MRS1,5/13/2018 7:00,1,0.1027
MRS1,5/13/2018 7:00,2,0.1739
MRS1,5/13/2018 7:00,3,0.062
MRS1,5/13/2018 7:00,4,0.147
MRS1,5/13/2018 7:00,5,0.2451
MRS1,5/13/2018 8:00,1,0.1027
MRS1,5/13/2018 8:00,2,0.1746
MRS1,5/13/2018 8:00,3,0.062
MRS1,5/13/2018 8:00,4,0.1477
MRS1,5/13/2018 8:00,5,0.2436
MRS1,5/13/2018 9:00,1,0.1027
MRS1,5/13/2018 9:00,2,0.1746
MRS1,5/13/2018 9:00,3,0.062
MRS1,5/13/2018 9:00,4,0.1485
MRS1,5/13/2018 9:00,5,0.2436
MRS1,5/13/2018 10:00,1,0.1012
MRS1,5/13/2018 10:00,2,0.1761
MRS1,5/13/2018 10:00,3,0.0628
MRS1,5/13/2018 10:00,4,0.1477
MRS1,5/13/2018 10:00,5,0.2436
MRS1,5/13/2018 11:00,1,0.0998
MRS1,5/13/2018 11:00,2,0.1761
MRS1,5/13/2018 11:00,3,0.0613
MRS1,5/13/2018 11:00,4,0.1492
MRS1,5/13/2018 11:00,5,0.2436
MRS1,5/13/2018 12:00,1,0.1012
MRS1,5/13/2018 12:00,2,0.1753
MRS1,5/13/2018 12:00,3,0.0635
MRS1,5/13/2018 12:00,4,0.1499
MRS1,5/13/2018 12:00,5,0.2429
MRS1,5/13/2018 13:00,1,0.0998
MRS1,5/13/2018 13:00,2,0.1753
MRS1,5/13/2018 13:00,3,0.062
MRS1,5/13/2018 13:00,4,0.1485
MRS1,5/13/2018 13:00,5,0.2451
MRS1,5/13/2018 14:00,1,0.1012
MRS1,5/13/2018 14:00,2,0.1746
MRS1,5/13/2018 14:00,3,0.062
MRS1,5/13/2018 14:00,4,0.1477
MRS1,5/13/2018 14:00,5,0.2443
MRS1,5/13/2018 15:00,1,0.1012
MRS1,5/13/2018 15:00,2,0.1753
MRS1,5/13/2018 15:00,3,0.062
MRS1,5/13/2018 15:00,4,0.1477
MRS1,5/13/2018 15:00,5,0.2458
MRS1,5/13/2018 16:00,1,0.1012
MRS1,5/13/2018 16:00,2,0.1753
MRS1,5/13/2018 16:00,3,0.0628
MRS1,5/13/2018 16:00,4,0.1485
MRS1,5/13/2018 16:00,5,0.2458
MRS1,5/13/2018 17:00,1,0.1027
MRS1,5/13/2018 17:00,2,0.1753
MRS1,5/13/2018 17:00,3,0.0635
MRS1,5/13/2018 17:00,4,0.1492
MRS1,5/13/2018 17:00,5,0.2465
MRS1,5/13/2018 18:00,1,0.1027
MRS1,5/13/2018 18:00,2,0.1753
MRS1,5/13/2018 18:00,3,0.0642
MRS1,5/13/2018 18:00,4,0.1521
MRS1,5/13/2018 18:00,5,0.2487
MRS1,5/13/2018 19:00,1,0.2516
MRS1,5/13/2018 19:00,2,0.2008
MRS1,5/13/2018 19:00,3,0.0678
MRS1,5/13/2018 19:00,4,0.2044
MRS1,5/13/2018 19:00,5,0.2705
MRS1,5/13/2018 20:00,1,0.3082
MRS1,5/13/2018 20:00,2,0.2472
MRS1,5/13/2018 20:00,3,0.1121
MRS1,5/13/2018 20:00,4,0.2313
MRS1,5/13/2018 20:00,5,0.277
MRS1,5/13/2018 21:00,1,0.2603
MRS1,5/13/2018 21:00,2,0.2465
MRS1,5/13/2018 21:00,3,0.1085
MRS1,5/13/2018 21:00,4,0.2204
MRS1,5/13/2018 21:00,5,0.2777
MRS1,5/13/2018 22:00,1,0.2276
MRS1,5/13/2018 22:00,2,0.2429
MRS1,5/13/2018 22:00,3,0.1042
MRS1,5/13/2018 22:00,4,0.2153
MRS1,5/13/2018 22:00,5,0.2756
MRS1,5/13/2018 23:00,1,0.2138
MRS1,5/13/2018 23:00,2,0.2363
MRS1,5/13/2018 23:00,3,0.102
MRS1,5/13/2018 23:00,4,0.2051
MRS1,5/13/2018 23:00,5,0.2741
MRS1,5/14/2018 0:00,1,0.2058
MRS1,5/14/2018 0:00,2,0.2313
MRS1,5/14/2018 0:00,3,0.0998
MRS1,5/14/2018 0:00,4,0.1964
MRS1,5/14/2018 0:00,5,0.2727
MRS1,5/14/2018 1:00,1,0.2051
MRS1,5/14/2018 1:00,2,0.2276
MRS1,5/14/2018 1:00,3,0.0991
MRS1,5/14/2018 1:00,4,0.192
MRS1,5/14/2018 1:00,5,0.2727
MRS1,5/14/2018 2:00,1,0.2029
MRS1,5/14/2018 2:00,2,0.2233
MRS1,5/14/2018 2:00,3,0.0991
MRS1,5/14/2018 2:00,4,0.1906
MRS1,5/14/2018 2:00,5,0.2719
MRS1,5/14/2018 3:00,1,0.1949
MRS1,5/14/2018 3:00,2,0.2189
MRS1,5/14/2018 3:00,3,0.0983
MRS1,5/14/2018 3:00,4,0.1877
MRS1,5/14/2018 3:00,5,0.2705
MRS1,5/14/2018 4:00,1,0.1906
MRS1,5/14/2018 4:00,2,0.2153
MRS1,5/14/2018 4:00,3,0.0976
MRS1,5/14/2018 4:00,4,0.1855
MRS1,5/14/2018 4:00,5,0.269
MRS1,5/14/2018 5:00,1,0.1877
MRS1,5/14/2018 5:00,2,0.2131
MRS1,5/14/2018 5:00,3,0.0954
MRS1,5/14/2018 5:00,4,0.184
MRS1,5/14/2018 5:00,5,0.2683
